match_id,player_name,team_name,body_part,goalkeeper_name,goalkeeper_action,outcome,location_x,location_y,end_y,end_z,is_goal
3754219,Charlie Daniels,AFC Bournemouth,Left Foot,Glyn Oliver Myhill,Penalty Conceded,Goal,108.0,40.0,42.4,2.1,1
3754285,Jordan Ayew,Aston Villa,Right Foot,Adrián San Miguel del Castillo,Penalty Conceded,Goal,108.1,40.1,39.4,2.0,1
3754270,Marko Arnautović,Stoke City,Right Foot,Hugo Lloris,Penalty Conceded,Goal,108.1,40.1,37.4,0.0,1
3754237,Riyad Mahrez,Leicester City,Left Foot,Costel Fane Pantilimon,Penalty Conceded,Goal,108.0,40.0,42.8,0.0,1
3754266,Yohan Cabaye,Crystal Palace,Right Foot,Heurelho da Silva Gomes,Penalty Conceded,Goal,108.3,40.1,38.0,1.9,1
3754269,Bojan Krkíc Pérez,Stoke City,Right Foot,Łukasz Fabiański,Penalty Conceded,Goal,107.6,40.0,43.3,1.6,1
3754234,Harry Kane,Tottenham Hotspur,Right Foot,Artur Boruc,Penalty Conceded,Goal,107.9,40.0,42.5,0.2,1
3754286,Troy Deeney,Watford,Right Foot,Declan Rudd,Penalty Conceded,Goal,107.7,40.0,42.0,1.3,1
3754287,Troy Deeney,Watford,Right Foot,Thibaut Courtois,Penalty Conceded,Goal,108.0,40.0,43.1,0.1,1
3754287,Oscar dos Santos Emboaba Júnior,Chelsea,Right Foot,Heurelho da Silva Gomes,Shot Faced,Off T,108.0,40.0,40.1,4.9,0
3754335,Jamie Vardy,Leicester City,Right Foot,John Ruddy,Penalty Conceded,Goal,108.1,40.1,38.2,1.3,1
3754297,Juan Manuel Mata García,Manchester United,Left Foot,Glyn Oliver Myhill,Penalty Conceded,Goal,108.2,40.1,40.0,1.5,1
3754301,Santiago Cazorla González,Arsenal,Right Foot,Glyn Oliver Myhill,Shot Faced,Wayward,107.9,40.1,42.8,0.0,0
3754156,Jamie Vardy,Leicester City,Right Foot,Heurelho da Silva Gomes,Penalty Conceded,Goal,108.0,40.1,39.6,2.1,1
3754156,Troy Deeney,Watford,Right Foot,Kasper Schmeichel,Penalty Conceded,Goal,108.0,40.0,37.8,0.2,1
3754000,Dušan Tadić,Southampton,Left Foot,Costel Fane Pantilimon,Penalty Conceded,Goal,108.3,40.1,43.2,0.4,1
3754003,Ander Herrera Agüera,Manchester United,Right Foot,Simon Mignolet,Penalty Conceded,Goal,108.3,40.2,37.8,2.3,1
3754131,Mark Noble,West Ham United,Right Foot,Artur Boruc,Penalty Conceded,Goal,108.0,40.0,37.7,1.2,1
3754131,Callum Wilson,AFC Bournemouth,Right Foot,Darren Randolph,Penalty Conceded,Goal,108.1,40.1,43.3,0.2,1
3754059,James Morrison,West Bromwich Albion,Right Foot,Thibaut Courtois,Penalty Saved,Saved,107.9,40.0,40.1,0.4,0
3754064,Sadio Mané,Southampton,Right Foot,Simon Mignolet,Penalty Saved,Saved,108.0,40.0,36.8,1.3,0
3753973,Francesc Fàbregas i Soler,Chelsea,Right Foot,Adrián San Miguel del Castillo,Penalty Conceded,Goal,108.0,39.7,43.3,1.3,1
3753994,Ryan Bertrand,Southampton,Left Foot,Julián Speroni,Penalty Conceded,Goal,107.1,40.0,37.2,1.8,1
3754004,Charlie Daniels,AFC Bournemouth,Left Foot,Declan Rudd,Penalty Conceded,Goal,108.0,40.0,43.2,0.4,1
3754027,Harry Kane,Tottenham Hotspur,Right Foot,Jordan Pickford,Penalty Conceded,Goal,108.0,40.3,36.4,0.2,1
3754033,Jamie Vardy,Leicester City,Right Foot,Joel Robles Blázquez,Penalty Conceded,Goal,108.1,40.1,36.6,0.0,1
3754033,Jamie Vardy,Leicester City,Right Foot,Joel Robles Blázquez,Shot Faced,Off T,108.1,40.1,40.1,4.5,0
3754035,Sergio Leonel Agüero del Castillo,Manchester City,Right Foot,Ben Foster,Penalty Conceded,Goal,108.0,40.0,43.3,0.7,1
3754071,Gylfi Þór Sigurðsson,Swansea City,Right Foot,Vito Mannone,Penalty Conceded,Goal,108.1,40.1,37.5,1.0,1
3754075,Alexandre Rodrigues da Silva,Chelsea,Right Foot,Bradley Guzan,Penalty Conceded,Goal,108.0,40.1,36.6,2.2,1
3754086,Mark Noble,West Ham United,Right Foot,Heurelho da Silva Gomes,Penalty Conceded,Goal,108.1,40.3,42.5,0.2,1
3754086,Mark Noble,West Ham United,Right Foot,Heurelho da Silva Gomes,Penalty Conceded,Goal,107.8,40.0,39.8,1.1,1
3754086,Troy Deeney,Watford,Right Foot,Adrián San Miguel del Castillo,Penalty Saved,Saved,108.4,40.2,39.8,0.5,0
3754088,Wayne Mark Rooney,Manchester United,Right Foot,Rob Elliot,Penalty Conceded,Goal,108.0,39.9,42.0,0.2,1
3754088,Aleksandar Mitrović,Newcastle United,Right Foot,David de Gea Quintana,Penalty Conceded,Goal,107.8,39.8,42.5,0.2,1
3754110,Sergio Leonel Agüero del Castillo,Manchester City,Right Foot,Adrián San Miguel del Castillo,Penalty Conceded,Goal,107.8,39.9,37.0,0.0,1
3754123,Leighton Baines,Everton,Left Foot,John Ruddy,Penalty Conceded,Goal,108.2,40.2,39.7,0.9,1
3754127,Romelu Lukaku Menama,Everton,Left Foot,Jack Butland,Penalty Conceded,Goal,108.2,40.1,40.1,0.2,1
3754132,Jermain Defoe,Sunderland,Right Foot,Jakob Haugaard,Penalty Conceded,Goal,107.9,39.9,42.4,0.5,1
3754147,Harry Kane,Tottenham Hotspur,Right Foot,Joe Hart,Penalty Conceded,Goal,108.0,40.0,42.1,1.4,1
3754155,Saido Berahino,West Bromwich Albion,Right Foot,Heurelho da Silva Gomes,Penalty Saved,Saved,108.0,40.1,38.2,0.2,0
3754155,Saido Berahino,West Bromwich Albion,Right Foot,Heurelho da Silva Gomes,Penalty Saved,Saved,108.2,40.2,43.4,0.2,0
3754163,Gylfi Þór Sigurðsson,Swansea City,Right Foot,Tim Howard,Penalty Conceded,Goal,107.9,40.2,36.4,2.0,1
3754168,James Ward-Prowse,Southampton,Right Foot,Glyn Oliver Myhill,Penalty Conceded,Goal,108.1,39.9,36.7,0.2,1
3754170,Yohan Cabaye,Crystal Palace,Right Foot,Karl Darlow,Penalty Saved,Saved,108.0,40.0,42.3,0.9,0
3754172,Fabio Borini,Sunderland,Right Foot,John Ruddy,Penalty Conceded,Goal,108.2,40.1,36.5,0.4,1
3754220,Christian Benteke Liolo,Liverpool,Right Foot,Alex McCarthy,Penalty Conceded,Goal,107.7,40.1,43.4,0.2,1
3754225,Craig Gardner,West Bromwich Albion,Right Foot,Artur Boruc,Penalty Saved to Post,Saved to Post,108.2,40.1,36.5,1.4,0
3754227,Andy Carroll,West Ham United,Left Foot,Kasper Schmeichel,Penalty Conceded,Goal,108.0,40.0,43.2,0.2,1
3754227,José Leonardo Ulloa,Leicester City,Right Foot,Adrián San Miguel del Castillo,Penalty Conceded,Goal,108.1,40.1,43.5,0.9,1
3754229,Francesc Fàbregas i Soler,Chelsea,Right Foot,Kasper Schmeichel,Penalty Conceded,Goal,108.1,40.0,36.8,0.0,1
3754243,Aleksandar Mitrović,Newcastle United,Right Foot,John Ruddy,Penalty Conceded,Goal,108.0,39.9,43.5,0.5,1
3754249,Sergio Leonel Agüero del Castillo,Manchester City,Right Foot,Bradley Guzan,Shot Faced,Post,108.2,40.2,44.1,0.4,0
3754250,Riyad Mahrez,Leicester City,Left Foot,Mark Bunn,Penalty Saved,Saved,108.2,40.1,38.4,1.0,0
3754252,Ross Barkley,Everton,Right Foot,Rob Elliot,Penalty Conceded,Goal,108.2,40.1,37.5,0.3,1
3754252,Ross Barkley,Everton,Right Foot,Rob Elliot,Penalty Conceded,Goal,108.0,40.1,40.0,2.4,1
3754261,Jamie Vardy,Leicester City,Right Foot,Petr Čech,Penalty Conceded,Goal,108.1,40.1,42.0,1.2,1
3754277,Romelu Lukaku Menama,Everton,Left Foot,Adrián San Miguel del Castillo,Penalty Saved,Saved,108.1,40.2,38.1,1.3,0
3754307,Sergio Leonel Agüero del Castillo,Manchester City,Right Foot,Shay Given,Penalty Conceded,Goal,108.0,40.0,37.2,1.5,1
3754308,Troy Deeney,Watford,Right Foot,Jordan Pickford,Penalty Conceded,Goal,108.0,40.0,42.8,0.8,1
3754317,Harry Kane,Tottenham Hotspur,Right Foot,Declan Rudd,Penalty Conceded,Goal,108.1,40.1,42.6,0.3,1
3754321,Marko Arnautović,Stoke City,Right Foot,Mark Bunn,Penalty Conceded,Goal,107.7,39.9,38.8,2.2,1
3754322,Sergio Leonel Agüero del Castillo,Manchester City,Right Foot,Asmir Begović,Penalty Conceded,Goal,108.3,39.9,36.7,0.5,1
3754333,Georginio Wijnaldum,Newcastle United,Right Foot,Hugo Lloris,Penalty Conceded,Goal,108.0,40.0,43.1,0.2,1
3754348,Wes Hoolahan,Norwich City,Left Foot,Simon Mignolet,Penalty Conceded,Goal,108.0,40.0,41.8,0.9,1
3754078,Bafétimbi Gomis,Swansea City,Right Foot,Asmir Begović,Penalty Conceded,Goal,108.1,40.1,42.5,0.3,1
3749257,Thierry Henry,Arsenal,Right Foot,Ian Walker,Penalty Conceded,Goal,108.3,40.1,37.4,0.3,1
3749133,Thierry Henry,Arsenal,Right Foot,Thomas Løvendahl Sørensen,Penalty Conceded,Goal,108.1,40.1,43.1,1.5,1
3749528,Thierry Henry,Arsenal,Right Foot,Shay Given,Penalty Conceded,Goal,108.1,40.3,39.6,0.5,1
3749552,Ruud van Nistelrooy,Manchester United,Right Foot,Jens Lehmann,Shot Faced,Post,108.2,40.1,37.5,2.9,0
3749296,Thierry Henry,Arsenal,Right Foot,Shaka Hislop,Penalty Conceded,Goal,107.7,40.0,41.8,0.7,1
3749068,Robbie Keane,Tottenham Hotspur,Right Foot,Jens Lehmann,Penalty Conceded,Goal,108.0,40.1,43.1,1.5,1
